date,type,num,quarter,year,month,weekday
2006-05-09,FELONY,482.0,2,2006,5,1
2006-05-09,MISDEMEANOR,835.0,2,2006,5,1
2006-05-09,VIOLATION,224.0,2,2006,5,1
2006-05-10,VIOLATION,199.0,2,2006,5,2
2006-05-10,FELONY,522.0,2,2006,5,2
2006-05-10,MISDEMEANOR,926.0,2,2006,5,2
2006-05-11,MISDEMEANOR,857.0,2,2006,5,3
2006-05-11,VIOLATION,176.0,2,2006,5,3
2006-05-11,FELONY,544.0,2,2006,5,3
2006-05-12,VIOLATION,214.0,2,2006,5,4
2006-05-12,FELONY,503.0,2,2006,5,4
2006-05-12,MISDEMEANOR,833.0,2,2006,5,4
2006-05-13,VIOLATION,191.0,2,2006,5,5
2006-05-13,MISDEMEANOR,844.0,2,2006,5,5
2006-05-13,FELONY,413.0,2,2006,5,5
2006-05-14,MISDEMEANOR,661.0,2,2006,5,6
2006-05-14,FELONY,419.0,2,2006,5,6
2006-05-14,VIOLATION,161.0,2,2006,5,6
2006-05-15,FELONY,488.0,2,2006,5,0
2006-05-15,VIOLATION,214.0,2,2006,5,0
2006-05-15,MISDEMEANOR,789.0,2,2006,5,0
2006-05-16,VIOLATION,166.0,2,2006,5,1
2006-05-16,FELONY,460.0,2,2006,5,1
2006-05-16,MISDEMEANOR,773.0,2,2006,5,1
2006-05-17,MISDEMEANOR,879.0,2,2006,5,2
2006-05-17,FELONY,477.0,2,2006,5,2
2006-05-17,VIOLATION,195.0,2,2006,5,2
2006-05-18,VIOLATION,226.0,2,2006,5,3
2006-05-18,MISDEMEANOR,804.0,2,2006,5,3
2006-05-18,FELONY,540.0,2,2006,5,3
2006-05-19,FELONY,489.0,2,2006,5,4
2006-05-19,MISDEMEANOR,738.0,2,2006,5,4
2006-05-19,VIOLATION,198.0,2,2006,5,4
2006-05-20,VIOLATION,222.0,2,2006,5,5
2006-05-20,FELONY,467.0,2,2006,5,5
2006-05-20,MISDEMEANOR,829.0,2,2006,5,5
2006-05-21,VIOLATION,195.0,2,2006,5,6
2006-05-21,MISDEMEANOR,728.0,2,2006,5,6
2006-05-21,FELONY,369.0,2,2006,5,6
2006-05-22,MISDEMEANOR,767.0,2,2006,5,0
2006-05-22,VIOLATION,209.0,2,2006,5,0
2006-05-22,FELONY,481.0,2,2006,5,0
2006-05-23,MISDEMEANOR,917.0,2,2006,5,1
2006-05-23,VIOLATION,201.0,2,2006,5,1
2006-05-23,FELONY,512.0,2,2006,5,1
2006-05-24,FELONY,486.0,2,2006,5,2
2006-05-24,MISDEMEANOR,843.0,2,2006,5,2
2006-05-24,VIOLATION,206.0,2,2006,5,2
2006-05-25,VIOLATION,214.0,2,2006,5,3
2006-05-25,FELONY,518.0,2,2006,5,3
2006-05-25,MISDEMEANOR,877.0,2,2006,5,3
2006-05-26,VIOLATION,201.0,2,2006,5,4
2006-05-26,FELONY,546.0,2,2006,5,4
2006-05-26,MISDEMEANOR,852.0,2,2006,5,4
2006-05-27,FELONY,444.0,2,2006,5,5
2006-05-27,VIOLATION,181.0,2,2006,5,5
2006-05-27,MISDEMEANOR,815.0,2,2006,5,5
2006-05-28,FELONY,417.0,2,2006,5,6
2006-05-28,MISDEMEANOR,807.0,2,2006,5,6
2006-05-28,VIOLATION,182.0,2,2006,5,6
2006-05-29,MISDEMEANOR,663.0,2,2006,5,0
2006-05-29,VIOLATION,168.0,2,2006,5,0
2006-05-29,FELONY,361.0,2,2006,5,0
2006-05-30,FELONY,493.0,2,2006,5,1
2006-05-30,MISDEMEANOR,893.0,2,2006,5,1
2006-05-30,VIOLATION,247.0,2,2006,5,1
2006-05-31,FELONY,529.0,2,2006,5,2
2006-05-31,MISDEMEANOR,783.0,2,2006,5,2
2006-05-31,VIOLATION,201.0,2,2006,5,2
2006-06-01,MISDEMEANOR,1040.0,2,2006,6,3
2006-06-01,FELONY,633.0,2,2006,6,3
2006-06-01,VIOLATION,281.0,2,2006,6,3
2006-06-02,MISDEMEANOR,824.0,2,2006,6,4
2006-06-02,FELONY,503.0,2,2006,6,4
2006-06-02,VIOLATION,200.0,2,2006,6,4
2006-06-03,FELONY,422.0,2,2006,6,5
2006-06-03,VIOLATION,171.0,2,2006,6,5
2006-06-03,MISDEMEANOR,741.0,2,2006,6,5
2006-06-04,VIOLATION,222.0,2,2006,6,6
2006-06-04,MISDEMEANOR,771.0,2,2006,6,6
2006-06-04,FELONY,384.0,2,2006,6,6
2006-06-05,VIOLATION,214.0,2,2006,6,0
2006-06-05,MISDEMEANOR,763.0,2,2006,6,0
2006-06-05,FELONY,517.0,2,2006,6,0
2006-06-06,MISDEMEANOR,901.0,2,2006,6,1
2006-06-06,VIOLATION,220.0,2,2006,6,1
2006-06-06,FELONY,471.0,2,2006,6,1
2006-06-07,VIOLATION,173.0,2,2006,6,2
2006-06-07,MISDEMEANOR,719.0,2,2006,6,2
2006-06-07,FELONY,482.0,2,2006,6,2
2006-06-08,MISDEMEANOR,833.0,2,2006,6,3
2006-06-08,FELONY,434.0,2,2006,6,3
2006-06-08,VIOLATION,195.0,2,2006,6,3
2006-06-09,MISDEMEANOR,924.0,2,2006,6,4
2006-06-09,FELONY,546.0,2,2006,6,4
2006-06-09,VIOLATION,204.0,2,2006,6,4
2006-06-10,MISDEMEANOR,796.0,2,2006,6,5
2006-06-10,VIOLATION,197.0,2,2006,6,5
2006-06-10,FELONY,467.0,2,2006,6,5
2006-06-11,VIOLATION,194.0,2,2006,6,6
2006-06-11,FELONY,388.0,2,2006,6,6
2006-06-11,MISDEMEANOR,736.0,2,2006,6,6
2006-06-12,VIOLATION,227.0,2,2006,6,0
2006-06-12,MISDEMEANOR,872.0,2,2006,6,0
2006-06-12,FELONY,467.0,2,2006,6,0
2006-06-13,FELONY,473.0,2,2006,6,1
2006-06-13,MISDEMEANOR,899.0,2,2006,6,1
2006-06-13,VIOLATION,190.0,2,2006,6,1
